q_A^-1,intensity,sigma,intensity_fit
3.193465179112360292e-03,2.602185736223310232e+04,1.006758774877576798e+03,2.619065037165622562e+04
3.250121088898979237e-03,2.437292936074733734e+04,9.385375683418462813e+02,2.449177240820931547e+04
3.307782142607233744e-03,2.281531939470767975e+04,8.733025026829602666e+02,2.289111897548902198e+04
3.366466172698157240e-03,2.134449236512184143e+04,8.110368433602071718e+02,2.138914542132335191e+04
3.426191328002056377e-03,1.995623473693057895e+04,7.517282710916905444e+02,1.998320250206837954e+04
3.486976079331312057e-03,1.864661687503010035e+04,6.953661641778940066e+02,1.866764164167433773e+04
3.548839225192700671e-03,1.741195828940719366e+04,6.419391140750844897e+02,1.743465336354489773e+04
3.611799897601099089e-03,1.624879591175075620e+04,5.914327024611737897e+02,1.627559647879614568e+04
3.675877567996325892e-03,1.515385546436719596e+04,5.438275466904909763e+02,1.518248138384396225e+04
3.741092053264940751e-03,1.412402594254538417e+04,4.990976245536979263e+02,1.414922892652602059e+04
3.807463521868875884e-03,1.315633717446029186e+04,4.572088695233159683e+02,1.317235931588896347e+04
3.875012500082818633e-03,1.224794039197266102e+04,4.181180305709811478e+02,1.225090443421385862e+04
3.943759878342231219e-03,1.139609170033037663e+04,3.817717799560690537e+02,1.138557897098352805e+04
4.013726917704013054e-03,1.059813832810521126e+04,3.481060583580822936e+02,1.057749903418092435e+04
4.084935256421760169e-03,9.851507445469498634e+03,3.170456438266739951e+02,9.826875320275492413e+03
4.157406916637682200e-03,9.153697417333722115e+03,2.885039380893973657e+02,9.132085818166660829e+03
4.231164311193260329e-03,8.502271229207515717e+03,2.623829783352931031e+02,8.489388648441194164e+03
4.306230250560711369e-03,7.894851908504962921e+03,2.385736905981925133e+02,7.893338009312745271e+03
4.382627949897448076e-03,7.329119674563407898e+03,2.169564167854059917e+02,7.337782685502742424e+03
4.460381036225673744e-03,6.802810602635145187e+03,1.974017711648839395e+02,6.817166218688488698e+03
4.539513555739347998e-03,6.313716567993164062e+03,1.797718722388983963e+02,6.327703278928211148e+03
4.620049981240807561e-03,5.859686226844787598e+03,1.639220045403919528e+02,5.867967618705208224e+03
4.702015219709324879e-03,5.438626806855201721e+03,1.497027314466298833e+02,5.438591247771616509e+03
4.785434620003895315e-03,5.048506520807743073e+03,1.369624291296815102e+02,5.041124839713751498e+03
4.870333980702753508e-03,4.687357362687587738e+03,1.255501591422023040e+02,4.676513495743774911e+03
4.956739558081899207e-03,4.353278139352798462e+03,1.153187079187810156e+02,4.343862138065987892e+03
5.044678074235219023e-03,4.044437536120414734e+03,1.061275827118278414e+02,4.040069135768742854e+03
5.134176725338668312e-03,3.759077095508575439e+03,9.784571846633036785e+01,3.760556076067467529e+03
5.225263190061041514e-03,3.495513956546783447e+03,9.035367092998990302e+01,3.500788094577794709e+03
5.317965638123972084e-03,3.252143265008926392e+03,8.354513330536512683e+01,3.257783868755546791e+03
5.412312739013808334e-03,3.027440149664878845e+03,7.732769364587207406e+01,3.030705798927244359e+03
5.508333670848032312e-03,2.819961199522018433e+03,7.162284962353704998e+01,2.820130648810770708e+03
5.606058129399006836e-03,2.628345414519309998e+03,6.636537022968120425e+01,2.626553412799288708e+03
5.705516337277777641e-03,2.451314551234245300e+03,6.150214760604909259e+01,2.449257785273121954e+03
5.806739053280818123e-03,2.287672901868820190e+03,5.699070372816854757e+01,2.286334187720651244e+03
5.909757581902620564e-03,2.136306486368179321e+03,5.279750976903436310e+01,2.135633037849159336e+03
6.014603783017019589e-03,1.996181663036346436e+03,4.889626616438227558e+01,1.995674328619626294e+03
6.121310081730308751e-03,1.866343208551406860e+03,4.526624453314546059e+01,1.865742950840461162e+03
6.229909478409132242e-03,1.745911914348602295e+03,4.189077256776798919e+01,1.745322538632811984e+03
6.340435558886282907e-03,1.634081693649291992e+03,3.875591956423600948e+01,1.633675333857154101e+03
6.452922504847585436e-03,1.530116361379623413e+03,3.584940640052523264e+01,1.529988296310970554e+03
6.567405104403065304e-03,1.433346015453338623e+03,3.315974740036856616e+01,1.433627591951944169e+03
6.683918762845597952e-03,1.343163207292556763e+03,3.067563152580295238e+01,1.343947623520990419e+03
6.802499513600528472e-03,1.259018884658813477e+03,2.838552090033662267e+01,1.259950785652081777e+03
6.923184029369445006e-03,1.180418207168579102e+03,2.627745386165516805e+01,1.180593733116113071e+03
7.046009633471732314e-03,1.106916299343109131e+03,2.433901520152827658e+01,1.105678172716250856e+03
7.171014311387324640e-03,1.038114000797271729e+03,2.255744907133687960e+01,1.036068675132755743e+03
7.298236722504217525e-03,9.736536450386047363e+02,2.091987528513974581e+01,9.724863667747124509e+02
7.427716212074391040e-03,9.132149667739868164e+02,1.941355053477995440e+01,9.140801215285157468e+02
7.559492823381881027e-03,8.565111408233642578e+02,1.802616538249931821e+01,8.586998403334819159e+02
7.693607310126696769e-03,8.032850146293640137e+02,1.674610252015311573e+01,8.048621559556858074e+02
7.830101149028469154e-03,7.533055553436279297e+02,1.556266496563231705e+01,7.530675796742232251e+02
7.969016552653683874e-03,7.063645949363708496e+02,1.446622651012138228e+01,7.048358955256110221e+02
8.110396482470460036e-03,6.622737231254577637e+02,1.344831420090233465e+01,6.608309156286527468e+02
8.254284662134995024e-03,6.208616113662719727e+02,1.250161320767001882e+01,6.203973345663916916e+02
8.400725591013685420e-03,5.819715108871459961e+02,1.161990917675878521e+01,5.825593336924650885e+02
8.549764557945174065e-03,5.454590835571289062e+02,1.079798240889395089e+01,5.467108673868219739e+02
8.701447655246524748e-03,5.111905164718627930e+02,1.003146333556735037e+01,5.124000421952483748e+02
8.855821792967876957e-03,4.790408821105957031e+02,9.316675056722157677e+00,4.793088642027796027e+02
9.012934713400030246e-03,4.488927927017211914e+02,8.650477057735949771e+00,4.478118421979955315e+02
9.172835005839421671e-03,4.206352663040161133e+02,8.030101649494898908e+00,4.189813635463085575e+02
9.335572121614958002e-03,3.941628217697143555e+02,7.453039780615393184e+00,3.934802096733272379e+02
9.501196389381580745e-03,3.693747844696044922e+02,6.916924559906060033e+00,3.705342591853784029e+02
9.669759030685025694e-03,3.461747274398803711e+02,6.419461058815181254e+00,3.482882453123032747e+02
9.841312175802793827e-03,3.244701175689697266e+02,5.958372031488551102e+00,3.254409656447727457e+02
1.001590887986618383e-02,3.041720609664916992e+02,5.531384137784712607e+00,3.027820272328311262e+02
1.019360313926825738e-02,2.851951112747192383e+02,5.136223761203019045e+00,2.827270210460618500e+02
1.037444990836298292e-02,2.674572467803955078e+02,4.770647647803407665e+00,2.666325085659503884e+02
1.055850511646059219e-02,2.508798294067382812e+02,4.432447108745480868e+00,2.528016738169337145e+02
1.074582568512450452e-02,2.353876075744628906e+02,4.119512433581149935e+00,2.380373295049073192e+02
1.093646954577506998e-02,2.209088268280029297e+02,3.829820156406815279e+00,2.212495661202362101e+02
1.113049565760565116e-02,2.073752708435058594e+02,3.561524374699972739e+00,2.048172015955568099e+02
1.132796402581655142e-02,1.947222461700439453e+02,3.312898431963740897e+00,1.921254502332281788e+02
1.152893572017243441e-02,1.828887100219726562e+02,3.082384599318396923e+00,1.835053883708658304e+02
1.173347289388896805e-02,1.718172969818115234e+02,2.868586144515422820e+00,1.751702950657692668e+02
1.194163880285455982e-02,1.614542026519775391e+02,2.670251185570932329e+00,1.635548241367867490e+02
1.215349782519309536e-02,1.517492694854736328e+02,2.486248341708927168e+00,1.498147074791182831e+02
1.236911548117373104e-02,1.426558704376220703e+02,2.315547275654508130e+00,1.388815414793633352e+02
