q_A^-1,intensity,sigma,intensity_fit
1.917691941650225256e-03,1.550352119431234896e+05,5.050633254904858404e+03,1.517526898712469847e+05
1.951714101138703325e-03,1.457654461731389165e+05,4.801011772320105592e+03,1.432164204648478772e+05
1.986339854620105747e-03,1.370428196710012853e+05,4.562632573675961794e+03,1.352526635948774638e+05
2.021579910577188648e-03,1.288392981641590595e+05,4.335195557612068114e+03,1.277929584890003898e+05
2.057445167474067794e-03,1.211273947625607252e+05,4.118375990826363704e+03,1.207723196577546187e+05
2.093946717126699344e-03,1.138802707651667297e+05,3.911824718773738823e+03,1.141315139953377657e+05
2.131095848133192101e-03,1.070718251746669412e+05,3.715169261241692311e+03,1.078191473003947467e+05
2.168904049364943701e-03,1.006767728738784790e+05,3.528015786284314800e+03,1.017933809494764282e+05
2.207383013519737241e-03,9.467071151841431856e+04,3.349951920399460960e+03,9.602306548428852693e+04
2.246544640737869070e-03,8.903017730034701526e+04,3.180550320066967288e+03,9.048808652438639547e+04
2.286401042282424495e-03,8.373268982417322695e+04,3.019372895117697226e+03,8.517878491010013386e+04
2.326964544284845001e-03,7.875678643265552819e+04,2.865975542668234993e+03,8.009443468759210373e+04
2.368247691556956639e-03,7.408204638719744980e+04,2.719913225066020004e+03,7.524091479658437311e+04
2.410263251470628337e-03,6.968910539141856134e+04,2.580745207173395102e+03,7.062785248494576081e+04
2.453024217906239323e-03,6.555966100050974637e+04,2.448040259924668135e+03,6.626560730089814751e+04
2.496543815271229805e-03,6.167646952138608322e+04,2.321381639262090175e+03,6.216247924909146241e+04
2.540835502589913666e-03,5.802333505039353622e+04,2.200371663708273900e+03,5.832246469431814330e+04
2.585912977665867640e-03,5.458509133748384193e+04,2.084635737464271642e+03,5.474377367820061045e+04
2.631790181318170718e-03,5.134757718824036419e+04,1.973825693939602161e+03,5.141819840140944143e+04
2.678481301692784387e-03,4.829760614131204784e+04,1.867622374761334640e+03,4.833131643193009950e+04
2.726000778650423343e-03,4.542293116380088031e+04,1.765737393099400151e+03,4.546343936574425607e+04
2.774363308232286659e-03,4.271220511351525784e+04,1.667914072098986480e+03,4.279117337785876589e+04
2.823583847205000767e-03,4.015493770452961326e+04,1.573927580734278081e+03,4.028942250385234365e+04
2.873677617686211036e-03,3.774144970653206110e+04,1.483584320009463454e+03,3.793361840763312648e+04
2.924660111852222730e-03,3.546282507698982954e+04,1.396720637001737032e+03,3.570189920454722596e+04
2.976547096729158064e-03,3.331086170651763678e+04,1.313200960543208794e+03,3.357690904807821062e+04
3.029354619069133791e-03,3.127802141089737415e+04,1.232915461996627982e+03,3.154689262442812469e+04
3.083099010312928198e-03,2.935737978244572878e+04,1.155777349090284815e+03,2.960585107525767307e+04
3.137796891640710472e-03,2.754257644154131413e+04,1.081719902776544359e+03,2.775271085930319168e+04
3.193465179112360292e-03,2.582776620896160603e+04,1.010693355881851176e+03,2.598968991355047183e+04
3.250121088898979237e-03,2.420757164739072323e+04,9.426617093861909780e+02,2.432024612584730494e+04
3.307782142607233744e-03,2.267703737792372704e+04,8.775995700304825959e+02,2.274708385415253724e+04
3.366466172698157240e-03,2.123158651480078697e+04,8.154890800250149141e+02,2.127064419686091787e+04
3.426191328002056377e-03,1.986697951622307301e+04,7.563169978806929521e+02,1.988834773641161155e+04
3.486976079331312057e-03,1.857927567899227142e+04,7.000719781054683608e+02,1.859466466541495902e+04
3.548839225192700671e-03,1.736479746431112289e+04,6.467420827014566385e+02,1.738191348911819659e+04
3.611799897601099089e-03,1.622009777921438217e+04,5.963125499968812164e+02,1.624155580165136053e+04
3.675877567996325892e-03,1.514193029236793518e+04,5.487638320813186965e+02,1.516566006269480931e+04
3.741092053264940751e-03,1.412722281250357628e+04,5.040699078275094394e+02,1.414815921848834842e+04
3.807463521868875884e-03,1.317305371436476707e+04,4.621968642167632311e+02,1.318555435102113915e+04
3.875012500082818633e-03,1.227663135069608688e+04,4.231017425636466101e+02,1.227685285741043481e+04
3.943759878342231219e-03,1.143527636343240738e+04,3.867316349899289776e+02,1.142276566537415783e+04
4.013726917704013054e-03,1.064640676516294479e+04,3.530230170140284258e+02,1.062443867946807586e+04
4.084935256421760169e-03,9.907525625526905060e+03,3.219013123062749173e+02,9.882142315937295280e+03
4.157406916637682200e-03,9.216211195290088654e+03,2.932806785386889032e+02,9.194330465308634302e+03
4.231164311193260329e-03,8.570109274208545685e+03,2.670640269744021111e+02,8.557337708854167431e+03
4.306230250560711369e-03,7.966927591741085052e+03,2.431432910932607001e+02,7.965788401365876780e+03
4.382627949897448076e-03,7.404431995272636414e+03,2.213999782796571765e+02,7.413602124920975257e+03
4.460381036225673744e-03,6.880444209277629852e+03,2.017060518672240619e+02,6.895307213661932110e+03
4.539513555739347998e-03,6.392840944170951843e+03,1.839251871190759573e+02,6.407228563426080655e+03
4.620049981240807561e-03,5.939554122686386108e+03,1.679144464590550854e+02,5.948076805849064840e+03
4.702015219709324879e-03,5.518571995735168457e+03,1.535263847389257137e+02,5.518631344727220494e+03
4.785434620003895315e-03,5.127940960407257080e+03,1.406115500973603218e+02,5.120575951960381644e+03
4.870333980702753508e-03,4.765767847537994385e+03,1.290212897542063217e+02,4.754953924357751021e+03
4.956739558081899207e-03,4.430222528219223022e+03,1.186106965231716117e+02,4.420926540526839744e+03
5.044678074235219023e-03,4.119540637969970703e+03,1.092414957049293491e+02,4.115420489670614188e+03
5.134176725338668312e-03,3.832026296734809875e+03,1.007846397693311076e+02,3.833878655236680515e+03
5.225263190061041514e-03,3.566054657459259033e+03,9.312240488417572237e+01,3.571794251219140733e+03
5.317965638123972084e-03,3.320074212670326233e+03,8.614984018462639881e+01,3.326223070953627030e+03
5.412312739013808334e-03,3.092608724832534790e+03,7.977549453338195917e+01,3.096366057450524295e+03
5.508333670848032312e-03,2.882258729338645935e+03,7.392143677376181188e+01,2.882841354928710643e+03
5.606058129399006836e-03,2.687702552080154419e+03,6.852265547172503091e+01,2.686197400241017476e+03
5.705516337277777641e-03,2.507696799278259277e+03,6.352596710201535757e+01,2.505787501893628360e+03
5.806739053280818123e-03,2.341076295852661133e+03,5.888859368776110159e+01,2.339776246237937812e+03
5.909757581902620564e-03,2.186753489732742310e+03,5.457655389437255167e+01,2.186065223742371927e+03
6.014603783017019589e-03,2.043717299699783325e+03,5.056301098766923729e+01,2.043188119440201035e+03
6.121310081730308751e-03,1.911031458616256714e+03,4.682666889074084082e+01,1.910418033591239237e+03
6.229909478409132242e-03,1.787832377672195435e+03,4.335030970479294155e+01,1.787231141213997716e+03
6.340435558886282907e-03,1.673326563596725464e+03,4.011951021566774500e+01,1.672902942046712042e+03
6.452922504847585436e-03,1.566787650823593140e+03,3.712157812307300020e+01,1.566641015275632299e+03
6.567405104403065304e-03,1.467553113222122192e+03,3.434470711121549158e+01,1.467817865538009301e+03
6.683918762845597952e-03,1.375020689249038696e+03,3.177736211681245493e+01,1.375778933537033254e+03
6.802499513600528472e-03,1.288644617319107056e+03,2.940787280284117955e+01,1.289522327602297082e+03
6.923184029369445006e-03,1.207931705474853516e+03,2.722422292281674316e+01,1.208020290663962442e+03
7.046009633471732314e-03,1.132437323570251465e+03,2.521400998936211124e+01,1.131098927790408879e+03
7.171014311387324640e-03,1.061761394500732422e+03,2.336452890141190153e+01,1.059635334136785332e+03
7.298236722504217525e-03,9.955443644523620605e+02,2.166296731716638746e+01,9.943432075121686466e+02
7.427716212074391040e-03,9.334632921218872070e+02,2.009664682535489177e+01,9.343495725799914453e+02
7.559492823381881027e-03,8.752280659675598145e+02,1.865329717785756003e+01,8.774765429545684583e+02
7.693607310126696769e-03,8.205777730941772461e+02,1.732130323991110998e+01,8.222171900778098461e+02
7.830101149028469154e-03,7.692772727012634277e+02,1.608992530781708652e+01,7.690705933382878356e+02
7.969016552653683874e-03,7.211140055656433105e+02,1.494944075236909242e+01,7.195823130236860834e+02
8.110396482470460036e-03,6.758950395584106445e+02,1.389123712313036485e+01,6.744427759336423378e+02
8.254284662134995024e-03,6.334444012641906738e+02,1.290781849342782373e+01,6.329919937925270688e+02
8.400725591013685420e-03,5.936006469726562500e+02,1.199275863231796713e+01,5.942230280925130046e+02
8.549764557945174065e-03,5.562147531509399414e+02,1.114060787932590557e+01,5.575082215032325621e+02
8.701447655246524748e-03,5.211482195854187012e+02,1.034675116665080807e+01,5.223945361849773690e+02
8.855821792967876957e-03,4.882715120315551758e+02,9.607270396434923754e+00,4.885610503736126020e+02
9.012934713400030246e-03,4.574626488685607910e+02,8.918779307092046693e+00,4.563743219396571931e+02
9.172835005839421671e-03,4.286061401367187500e+02,8.278286846417698186e+00,4.269167569188704761e+02
9.335572121614958002e-03,4.015920896530151367e+02,7.683057788643957053e+00,4.008749588675824498e+02
9.501196389381580745e-03,3.763154449462890625e+02,7.130526357004066895e+00,3.774717849535139749e+02
9.669759030685025694e-03,3.526755294799804688e+02,6.618200591629489260e+00,3.548132131071074582e+02
9.841312175802793827e-03,3.305756282806396484e+02,6.143634087991317827e+00,3.315678062525024643e+02
1.001590887986618383e-02,3.099227476119995117e+02,5.704386699585521470e+00,3.085307352705859785e+02
1.019360313926825738e-02,2.906274785995483398e+02,5.298042641283422505e+00,2.881392224946477540e+02
1.037444990836298292e-02,2.726039333343505859e+02,4.922214072521879480e+00,2.717633894939024231e+02
1.055850511646059219e-02,2.557697439193725586e+02,4.574576086197299496e+00,2.577008474375792275e+02
1.074582568512450452e-02,2.400460968017578125e+02,4.252901321123827572e+00,2.427240478320069315e+02
1.093646954577506998e-02,2.253578138351440430e+02,3.955081983022809666e+00,2.257137650352281639e+02
1.113049565760565116e-02,2.116333999633789062e+02,3.679164970861255046e+00,2.090639595501312726e+02
1.132796402581655142e-02,1.988051872253417969e+02,3.423361259527311518e+00,1.961938777031799077e+02
1.152893572017243441e-02,1.868092918395996094e+02,3.186057568467626222e+00,1.874326221015156477e+02
1.173347289388896805e-02,1.755857601165771484e+02,2.965804073928627105e+00,1.789667348762572487e+02
1.194163880285455982e-02,1.650784749984741211e+02,2.761307789658464795e+00,1.672010059011298040e+02
1.215349782519309536e-02,1.552352066040039062e+02,2.571416461250005447e+00,1.532873265812582986e+02
1.236911548117373104e-02,1.460075578689575195e+02,2.395089562001756267e+00,1.422030905954864863e+02
1.258855845347394038e-02,1.373507890701293945e+02,2.231381845719429879e+00,1.367769559683733860e+02
1.281189460780202474e-02,1.292238035202026367e+02,2.079419643426212438e+00,1.329822477910066709e+02
1.303919301388548752e-02,1.215889415740966797e+02,1.938383823741967493e+00,1.248240229753316726e+02
1.327052396683181881e-02,1.144117794036865234e+02,1.807505071904623284e+00,1.128790606503278866e+02
1.350595900886817843e-02,1.076609716415405273e+02,1.686056013776469076e+00,1.033956966569639633e+02
1.374557095146680674e-02,1.013079967498779297e+02,1.573321898682847442e+00,1.001760121477684748e+02
1.398943389786295836e-02,9.532698440551757812e+01,1.468640911839816487e+00,9.905672609084267322e+01
1.423762326597232709e-02,8.969438171386718750e+01,1.371388634599753020e+00,9.327835448988687972e+01
1.449021581171507089e-02,8.438879394531250000e+01,1.280977545822092223e+00,8.315696570239592234e+01
1.474728965275358059e-02,7.939075469970703125e+01,1.196859318802300232e+00,7.527377175997563086e+01
1.500892429265147411e-02,7.468242645263671875e+01,1.118552487802315865e+00,7.348437229481454835e+01
1.527520064546111778e-02,7.024747276306152344e+01,1.045607981523376973e+00,7.354524244264482036e+01
1.554620106074739751e-02,6.607078933715820312e+01,9.776283246271464389e-01,6.933585950317953461e+01
1.582200934905544226e-02,6.213841629028320312e+01,9.142627985671023527e-01,6.130020095606348463e+01
1.610271080783016659e-02,5.843725013732910156e+01,8.551989264828516735e-01,5.500354664975422736e+01
1.638839224779563980e-02,5.495496749877929688e+01,8.001402731940877588e-01,5.373034086478637761e+01
1.667914201980251476e-02,5.167999839782714844e+01,7.488572633871787287e-01,5.420723442205780884e+01
1.697505004215169727e-02,4.860122489929199219e+01,7.010793810860396214e-01,5.142612414339832583e+01
1.727620782840279950e-02,4.570810127258300781e+01,6.566132039931904529e-01,4.531635018340953280e+01
