# Q(1/A)  I_MAP  dI_MAP
1.821211943290607788e-02 3.807378005981445312e+01 5.355980156563315830e-01
1.853522431670525869e-02 3.579197311401367188e+01 5.018999242234918334e-01
1.886406146941029330e-02 3.365201187133789062e+01 4.704923672355940667e-01
1.919873258835989166e-02 3.164571762084960938e+01 4.412376959708940172e-01
1.953934117512577326e-02 2.976525497436523438e+01 4.139980050006657475e-01
1.988599256752190611e-02 2.800292205810546875e+01 3.886669676197734291e-01
2.023879397218167342e-02 2.635142135620117188e+01 3.651769256288227572e-01
2.059785449771293214e-02 2.480368041992187500e+01 3.433447095844194830e-01
2.096328518844138566e-02 2.335287857055664062e+01 3.231049675699205204e-01
2.133519905875250547e-02 2.199261856079101562e+01 3.043618050913049489e-01
2.171371112804276401e-02 2.071677017211914062e+01 2.869831248781777311e-01
2.209893845629094800e-02 1.951954269409179688e+01 2.708794970172103689e-01
2.249100018026054665e-02 1.839549255371093750e+01 2.559413632950182094e-01
2.289001755034435551e-02 1.733953475952148438e+01 2.420535794049209488e-01
2.329611396806288703e-02 1.634695434570312500e+01 2.291574187291211262e-01
2.370941502422790198e-02 1.541330718994140625e+01 2.171221518145805274e-01
2.413004853778307271e-02 1.453453063964843750e+01 2.059042141631789169e-01
2.455814459533374114e-02 1.370690917968750000e+01 1.954003708585032861e-01
2.499383559137794211e-02 1.292694091796875000e+01 1.855879888660042776e-01
2.543725626925121344e-02 1.219139099121093750e+01 1.764527106111755117e-01
2.588854376279775202e-02 1.149750518798828125e+01 1.678892435378250281e-01
2.634783763878096111e-02 1.084249114990234375e+01 1.599655877300255602e-01
2.681527994004637844e-02 1.022398376464843750e+01 1.525314348685112009e-01
2.729101522945025227e-02 9.639762878417968750e+00 1.457664699769163352e-01
2.777519063456760501e-02 9.087768554687500000e+00 1.394399941296994849e-01
2.826795589319353735e-02 8.566154479980468750e+00 1.336856637394343850e-01
2.876946339965144941e-02 8.073181152343750000e+00 1.282981632805858807e-01
2.927986825192328488e-02 7.607292175292968750e+00 1.234183381092154586e-01
