# Q(1/A)  I_MAP  dI_MAP
9.658772466098665020e-04 1.114191137506708503e+06 2.582451088886060461e+04
9.830130696358385742e-04 1.075130748956170864e+06 2.487712132166513038e+04
1.000452902753992636e-03 1.036455784298910759e+06 2.396037283995310281e+04
1.018202139468684601e-03 9.982254039739090949e+05 2.307353268193519762e+04
1.036266268971518766e-03 9.604958900473508984e+05 2.221582798980926600e+04
1.054650877838957633e-03 9.233204961329028010e+05 2.138645248799962428e+04
1.073361651760039708e-03 8.867493142230529338e+05 2.058457331872335999e+04
1.092404377294763302e-03 8.508291590057052672e+05 1.980933796471646565e+04
1.111784943663651120e-03 8.156034701218791306e+05 1.905988118322220180e+04
1.131509344569075690e-03 7.811122326987348497e+05 1.833533187239543986e+04
1.151583680048893577e-03 7.473919163668565452e+05 1.763481978663369591e+04
1.172014158362963670e-03 7.144754328467417508e+05 1.695748201907966359e+04
1.192807097913132618e-03 6.823921120616141707e+05 1.630246916802258784e+04
1.213968929197288072e-03 6.511676966091860086e+05 1.566895110935079902e+04
1.235506196798082101e-03 6.208243543014843017e+05 1.505612230051754705e+04
1.257425561406921551e-03 5.913807083604261279e+05 1.446320654874622596e+04
1.279733801883888846e-03 5.628518847407102585e+05 1.388946118513152214e+04
1.302437817354185458e-03 5.352495759388059378e+05 1.333418059504953453e+04
1.325544629341784963e-03 5.085821205418482423e+05 1.279669906722199448e+04
1.349061383940937994e-03 4.828545976694300771e+05 1.227639293376966270e+04
1.372995354026188691e-03 4.580689353708922863e+05 1.177268198715763538e+04
1.397353941501620856e-03 4.342240319571867585e+05 1.128503017045983688e+04
1.422144679589987118e-03 4.113158891717195511e+05 1.081294554975575193e+04
1.447375235162464682e-03 3.893377560410909355e+05 1.035597958814555022e+04
1.473053411109742162e-03 3.682802821919694543e+05 9.913725751785561442e+03
1.499187148755160015e-03 3.481316793776154518e+05 9.485817486849000488e+03
1.525784530310684119e-03 3.288778899244628847e+05 9.071925616398601051e+03
1.552853781376427409e-03 3.105027607893720269e+05 8.671755212289393967e+03
