# Q(1/A)  I_MAP  dI_MAP
1.098514870924360929e-03 7.492103025536360219e+05 1.757208907700333657e+04
1.117840142419206356e-03 7.179271151753580198e+05 1.691104325086442623e+04
1.137505387571427235e-03 6.873319834878202528e+05 1.627200621848060291e+04
1.157516587258846730e-03 6.574549565278626978e+05 1.565420889030414946e+04
1.177879827575967989e-03 6.283228641941789538e+05 1.505688793012926726e+04
1.198601301684965080e-03 5.999593112306296825e+05 1.447929096839433805e+04
1.219687311699236415e-03 5.723846874610465020e+05 1.392068152792649380e+04
1.241144270600093562e-03 5.456161939046010375e+05 1.338034360052016564e+04
1.262978704187174605e-03 5.196678842970896512e+05 1.285758581553656950e+04
1.285197253063155793e-03 4.945507214421723038e+05 1.235174514800725046e+04
1.307806674653394247e-03 4.702726477215606719e+05 1.186219011925866653e+04
1.330813845261089989e-03 4.468386690044347197e+05 1.138832345122579318e+04
1.354225762158607627e-03 4.242509511136934161e+05 1.092958414368882404e+04
1.378049545715590452e-03 4.025089279326982796e+05 1.048544895318477029e+04
1.402292441564504223e-03 3.816094201695770025e+05 1.005543326156223338e+04
1.426961822804286972e-03 3.615467637394666672e+05 9.639091331923265898e+03
1.452065192242761420e-03 3.423129466753453016e+05 9.236015959151998686e+03
1.477610184678497616e-03 3.238977534418813884e+05 8.845837531585582838e+03
1.503604569222816417e-03 3.062889154959283769e+05 8.468222529115761063e+03
1.530056251662645491e-03 2.894722669199630618e+05 8.102871490871565584e+03
1.556973276864939953e-03 2.734319039471112192e+05 7.749516494242649060e+03
1.584363831223401615e-03 2.581503471949100494e+05 7.407918191792532525e+03
1.612236245148250622e-03 2.436087054413855076e+05 7.077862461344487201e+03
1.640598995599778457e-03 2.297868397939652205e+05 6.759156728587249745e+03
1.669460708666491806e-03 2.166635271349772811e+05 6.451626026150747748e+03
1.698830162188599488e-03 2.042166217669993639e+05 6.155108859706750991e+03
1.728716288427654740e-03 1.924232142282351851e+05 5.869452954266315828e+03
1.759128176783170995e-03 1.812597863056063652e+05 5.594510958307034343e+03
1.790075076557009343e-03 1.707023613345474005e+05 5.330136187069245352e+03
1.821566399766417609e-03 1.607266489463001490e+05 5.076178490366835831e+03
1.853611724006546356e-03 1.513081834957152605e+05 4.832480330892636630e+03
1.886220795363324982e-03 1.424224554847031832e+05 4.598873163337628284e+03
1.919403531377582859e-03 1.340450353793948889e+05 4.375174202640132535e+03
1.953170024061313438e-03 1.261516893040984869e+05 4.161183669996116805e+03
1.987530542967004196e-03 1.187184861860722303e+05 3.956682598629128734e+03
2.022495538310956596e-03 1.117218960126340389e+05 3.761431277662846242e+03
2.058075644151566210e-03 1.051388789526522160e+05 3.575168395966392382e+03
