# Q(1/A)  I_MAP  dI_MAP
2.718804295305160892e-02 9.764313697814941406e+00 1.544080888754091607e-01
2.766633990231286144e-02 9.207510948181152344e+00 1.482960880681891969e-01
2.815305113766553013e-02 8.681665420532226562e+00 1.426984723250611653e-01
2.864832468474627289e-02 8.185327529907226562e+00 1.375809864480962708e-01
2.915231117328542093e-02 7.717182159423828125e+00 1.328268604368695593e-01
2.966516388291862150e-02 7.275903701782226562e+00 1.286099815090182008e-01
3.018703878980457528e-02 6.860189437866210938e+00 1.245873315141957927e-01
3.071809461406257297e-02 6.468816757202148438e+00 1.209203647825320832e-01
3.125849286804486399e-02 6.100545883178710938e+00 1.175125699725884654e-01
3.180839790545809953e-02 5.754171371459960938e+00 1.144371255882050964e-01
3.236797697134893848e-02 5.428464889526367188e+00 1.115506274319815333e-01
3.293740025296903323e-02 5.122257232666015625e+00 1.090256698199442431e-01
3.351684093153478594e-02 4.834394454956054688e+00 1.065303917444894027e-01
3.410647523489785532e-02 4.563770294189453125e+00 1.044876240241816856e-01
3.470648249114191564e-02 4.309207916259765625e+00 1.024413597026824635e-01
3.531704518312262647e-02 4.069761276245117188e+00 1.007138522215135779e-01
3.593834900396690457e-02 3.844364166259765625e+00 9.909102260910798710e-02
3.657058291354862295e-02 3.632049560546875000e+00 9.757809372497497358e-02
3.721393919595779309e-02 3.431987762451171875e+00 9.631896879639025022e-02
3.786861351798072317e-02 3.243280410766601562e+00 9.504316453590967717e-02
3.853480498860920034e-02 3.065183639526367188e+00 9.391261937633833823e-02
3.921271621959614151e-02 2.897027969360351562e+00 9.295315651789683165e-02
3.990255338707696803e-02 2.738130569458007812e+00 9.190070590639524972e-02
4.060452629427480087e-02 2.587934494018554688e+00 9.106674395995911775e-02
4.131884843530887058e-02 2.445924758911132812e+00 9.028847133848609541e-02
4.204573706012539741e-02 2.311649322509765625e+00 8.969501955628933487e-02
4.278541324057075906e-02 2.184623718261718750e+00 8.920458786460340461e-02
4.353810193762720077e-02 2.064554214477539062e+00 8.894763700574766230e-02
4.430403206983096753e-02 1.951070785522460938e+00 8.881888281954744557e-02
4.508343658289448025e-02 1.843883514404296875e+00 8.886182160997910251e-02
4.587655252055307387e-02 1.742671966552734375e+00 8.914041958784395259e-02
4.668362109665818993e-02 1.647201538085937500e+00 8.937547803630899179e-02
4.750488776853880463e-02 1.557197570800781250e+00 8.978003855125940569e-02
4.834060231165338006e-02 1.472391128540039062e+00 9.022507392539919069e-02
4.919101889555539675e-02 1.392578125000000000e+00 9.064688582712729370e-02
5.005639616119474111e-02 1.317552566528320312e+00 9.098292733478215155e-02
5.093699729957953948e-02 1.246976852416992188e+00 9.127594879334315070e-02
5.183309013182155894e-02 1.180671691894531250e+00 9.131773224656999921e-02
5.274494719058978737e-02 1.118381500244140625e+00 9.138037160382488089e-02
5.367284580299702679e-02 1.059818267822265625e+00 9.121323772527825668e-02
5.461706817494454969e-02 1.004774093627929688e+00 9.092001415865141878e-02
5.557790147695085975e-02 9.530372619628906250e-01 9.035182426734669758e-02
5.655563793148976615e-02 9.043235778808593750e-01 8.982251787161654732e-02
5.755057490186554076e-02 8.584289550781250000e-01 8.914041958784395259e-02
5.856301498265126942e-02 8.151626586914062500e-01 8.843149548962321582e-02
5.959326609171829159e-02 7.742500305175781250e-01 8.767334252915406911e-02
6.064164156388458793e-02 7.355747222900390625e-01 8.679877360659754570e-02
6.170846024621064185e-02 6.989269256591796875e-01 8.607056459582305974e-02
6.279404659497206387e-02 6.641693115234375000e-01 8.549245557905972570e-02
6.389873077433749771e-02 6.311683654785156250e-01 8.486547258750168354e-02
6.502284875678321363e-02 5.997924804687500000e-01 8.421117631761756983e-02
6.616674242527378902e-02 5.699424743652343750e-01 8.377972886534068575e-02
6.733075967724047595e-02 5.415496826171875000e-01 8.346039304383397195e-02
6.851525453038885549e-02 5.145397186279296875e-01 8.309393510227597313e-02
6.972058723036766992e-02 4.888515472412109375e-01 8.291009873746532644e-02
7.094712436033218106e-02 4.644813537597656250e-01 8.274890689185492032e-02
7.219523895243440403e-02 4.413623809814453125e-01 8.265665613085479424e-02
7.346531060127520218e-02 4.194393157958984375e-01 8.249496907008935231e-02
7.475772557935203566e-02 3.987598419189453125e-01 8.237928401938726664e-02
7.607287695453775200e-02 3.792209625244140625e-01 8.233296448577340221e-02
7.741116470962598750e-02 3.608455657958984375e-01 8.219384926758130372e-02
7.877299586397969178e-02 3.436164855957031250e-01 8.200799521569146489e-02
8.015878459731998196e-02 3.274631500244140625e-01 8.189162223920558314e-02
8.156895237569201929e-02 3.123359680175781250e-01 8.182171900645864027e-02
8.300392807964761255e-02 2.982311248779296875e-01 8.165837875143309998e-02
8.446414813468249017e-02 2.850646972656250000e-01 8.154150681698477121e-02
8.595005664396837552e-02 2.728080749511718750e-01 8.140103900068244858e-02
8.746210552341991684e-02 2.613468170166015625e-01 8.140103900068244858e-02
8.900075463913788287e-02 2.506427764892578125e-01 8.133071411584770483e-02
9.056647194727061867e-02 2.406463623046875000e-01 8.128379705736255012e-02
9.215973363633502002e-02 2.312660217285156250e-01 8.137760412499867035e-02
9.378102427204225433e-02 2.224407196044921875e-01 8.121337064957730167e-02
9.543083694467079103e-02 2.140922546386718750e-01 8.142446713154621873e-02
9.710967341903206651e-02 2.061786651611328125e-01 8.137760412499867035e-02
9.881804428707449683e-02 1.986198425292968750e-01 8.142446713154621873e-02
1.005564691231719127e-01 1.914005279541015625e-01 8.142446713154621873e-02
1.023254766421444611e-01 1.844444274902343750e-01 8.137760412499867035e-02
