q_A^-1,intensity,sigma,intensity_fit
9.335572121614958002e-03,4.130785307884216309e+02,7.867526186307633118e+00,4.121743721999246759e+02
9.501196389381580745e-03,3.873905251026153564e+02,7.308471613423613178e+00,3.883560594632003244e+02
9.669759030685025694e-03,3.633107595443725586e+02,6.788530089613501239e+00,3.653910939707722605e+02
9.841312175802793827e-03,3.407470061779022217e+02,6.305472815480042570e+00,3.418870089504849830e+02
1.001590887986618383e-02,3.196113815307617188e+02,5.857107959869312097e+00,3.184547478156006264e+02
1.019360313926825738e-02,2.998200035095214844e+02,5.441263233942526867e+00,2.974115116127568399e+02
1.037444990836298292e-02,2.812926912307739258e+02,5.055787711117112337e+00,2.802755592459651552e+02
1.055850511646059219e-02,2.639527683258056641e+02,4.698576188014841115e+00,2.656192557914359895e+02
1.074582568512450452e-02,2.477269682884216309e+02,4.367592344132117610e+00,2.503316444152416125e+02
1.093646954577506998e-02,2.325452823638916016e+02,4.060871913096998576e+00,2.330879237518794298e+02
1.113049565760565116e-02,2.183409705162048340e+02,3.776570600975227343e+00,2.159900421743735706e+02
1.132796402581655142e-02,2.050505042076110840e+02,3.512965573987800738e+00,2.024762094588246555e+02
1.152893572017243441e-02,1.926135544776916504e+02,3.268471093614707446e+00,1.930604128613136652e+02
1.173347289388896805e-02,1.809729743003845215e+02,3.041649665959195836e+00,1.840893042047354129e+02
1.194163880285455982e-02,1.700748100280761719e+02,2.831181176298568136e+00,1.721565808080367503e+02
1.215349782519309536e-02,1.598682527542114258e+02,2.635883114111808645e+00,1.581861684097138436e+02
1.236911548117373104e-02,1.503056178092956543e+02,2.454664779742480984e+00,1.467137164368932076e+02
1.258855845347394038e-02,1.413422923088073730e+02,2.286543882908612879e+00,1.407117931337641892e+02
1.281189460780202474e-02,1.329366593360900879e+02,2.130577397417591889e+00,1.364088673886368213e+02
1.303919301388548752e-02,1.250500421524047852e+02,1.985922863033688479e+00,1.280271026208906449e+02
1.327052396683181881e-02,1.176465754508972168e+02,1.851756154166143808e+00,1.162763291104946575e+02
1.350595900886817843e-02,1.106930775642395020e+02,1.727304704726051021e+00,1.067876997825725027e+02
1.374557095146680674e-02,1.041589550971984863e+02,1.611839407520105683e+00,1.030943281850452706e+02
1.398943389786295836e-02,9.801603221893310547e+01,1.504634056845561174e+00,1.014267844297444867e+02
1.423762326597232709e-02,9.223842716217041016e+01,1.405059989110090335e+00,9.543629430288407889e+01
1.449021581171507089e-02,8.680231523513793945e+01,1.312482561268077275e+00,8.567369823334189505e+01
1.474728965275358059e-02,8.168588638305664062e+01,1.226355662795227452e+00,7.798958758998369944e+01
1.500892429265147411e-02,7.686908817291259766e+01,1.146159917355489943e+00,7.579248231367694189e+01
1.527520064546111778e-02,7.233349609375000000e+01,1.071418580508198604e+00,7.527206761660765721e+01
1.554620106074739751e-02,6.806217575073242188e+01,1.001747511797547840e+00,7.092404904479988659e+01
1.582200934905544226e-02,6.403947257995605469e+01,9.367652557002257296e-01,6.329841155961866406e+01
1.610271080783016659e-02,6.025096702575683594e+01,8.761458387515852486e-01,5.719364572272568381e+01
1.638839224779563980e-02,5.668327236175537109e+01,8.196193127733715222e-01,5.557504677647355606e+01
1.667914201980251476e-02,5.332391929626464844e+01,7.669193459570080584e-01,5.554242212153729241e+01
1.697505004215169727e-02,5.016128540039062500e+01,7.177701158511576862e-01,5.264850802419560694e+01
1.727620782840279950e-02,4.718445682525634766e+01,6.719998975481227266e-01,4.683551313697201124e+01
1.758270851567595924e-02,4.438318347930908203e+01,6.293731283332397730e-01,4.198474255671720812e+01
1.789464689345575052e-02,4.174777698516845703e+01,5.896594031048109086e-01,4.065853233863577998e+01
1.821211943290607788e-02,3.926908397674560547e+01,5.527136701069070845e-01,4.084353624556058548e+01
1.853522431670525869e-02,3.693838787078857422e+01,5.182888693101379562e-01,3.901472021986874950e+01
1.886406146941029330e-02,3.474739933013916016e+01,4.862496799183554375e-01,3.464676950685429802e+01
1.919873258835989166e-02,3.268823337554931641e+01,4.563922816995505394e-01,3.084433175396909732e+01
1.953934117512577326e-02,3.075333976745605469e+01,4.285941345012858061e-01,2.983564728139911892e+01
1.988599256752190611e-02,2.893552589416503906e+01,4.026659814016140815e-01,3.003918039076407354e+01
2.023879397218167342e-02,2.722796535491943359e+01,3.784982903667424292e-01,2.875414280107829867e+01
